Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect,estrato,N_estrato,n_estrato,peso,prob_seleccion
00-21-0033-46,7266679671.0,7,"150,945",007266679671,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 21,21.0,Diversificado,46,BACHILLERATO,1.0,16,1,0,Cooperativa,24,Urbana,11,Matutina,31,ANUAL,01-218,1,2,0,0,2,4,2,1,4,4,2,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,5,5,6,1,2,0,1,1,0,0,1,1,-0.41,0.74,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Matutina | BACHILLERATO | 0,3,1,3.0,0.3333333333333333
00-18-0196-46,3103511680.0,88,"148,162",003103511680,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-111,2,2,0,0,2,1,2,1,5,5,2,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,3,5,2,1,1,0,0,1,0,0,0,1,-0.15,0.09,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 0,464,7,66.28571428571429,0.015086206896551725
00-13-0941-46,3403311740.0,157,"145,746",003403311740,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,19,4,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,2,1,0,2,3,1,.,4,4,2,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,5,5,0,1,1,0,0,1,0,0,1,1,0.15,0.55,2,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 0,464,7,66.28571428571429,0.015086206896551725
00-13-0941-46,75219259.0,157,"145,707",000075219259,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,18,3,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,2,1,0,2,3,2,3,5,4,2,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,3,0,4,1,1,0,1,0,0,0,1,1,0.31,0.33,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 0,464,7,66.28571428571429,0.015086206896551725
00-13-0937-46,9634096680.0,86,"145,242",009634096680,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,16,1,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-501,2,2,0,0,2,4,2,3,5,4,5,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,5,1,0,1,0,1,1,1,1,1,0,-0.11,0.5,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 1,463,7,66.14285714285714,0.01511879049676026
00-13-0941-46,9792638127.0,157,"145,672",009792638127,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,2,0,0,2,3,2,1,5,2,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,5,0,1,1,1,0,0,1,0,0,1,1,1.32,1.33,3,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 1,463,7,66.14285714285714,0.01511879049676026
00-13-0941-46,8535964758.0,157,"145,710",008535964758,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,2,0,0,2,1,2,4,5,4,5,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,5,5,1,0,4,0,1,0,0,0,1,1,-0.14,0.6,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 1,463,7,66.14285714285714,0.01511879049676026
00-01-0206-46,8858943558.0,83,"124,246",008858943558,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-307,2,2,0,1,2,3,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,5,0,1,0,1,0,1,1,0,0,1,1,0.98,0.36,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 1,463,7,66.14285714285714,0.01511879049676026
00-18-0186-46,4629511528.0,55,"148,019",004629511528,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-111,2,2,0,0,0,3,0,2,4,4,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,3,0,1,0,4,0,0,1,0,0,1,1,-0.51,-0.47,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 1,463,7,66.14285714285714,0.01511879049676026
00-13-0941-46,4216132737.0,157,"145,629",004216132737,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,18,3,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,0,1,1,2,2,2,2,4,4,2,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,4,3,1,1,1,0,0,1,0,0,1,1,-0.64,-0.39,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 1,463,7,66.14285714285714,0.01511879049676026
00-13-0941-46,621298189.0,157,"145,740",000621298189,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,2,0,0,2,3,2,2,2,4,5,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,5,5,4,1,2,0,1,1,0,0,1,1,-0.26,0.15,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | BACHILLERATO | 1,463,7,66.14285714285714,0.01511879049676026
00-01-0173-46,4810957035.0,68,"123,486",004810957035,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,MAGISTERIO,2.0,19,4,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-301,2,2,0,0,2,3,2,1,4,4,5,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,5,2,1,1,0,1,1,0,0,1,1,0.17,0.94,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | MAGISTERIO | 0,217,3,72.33333333333333,0.013824884792626729
00-01-0173-46,9858788244.0,68,"123,481",009858788244,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,MAGISTERIO,2.0,18,3,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-301,1,2,0,0,2,1,2,2,5,4,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,1,1,-0.13,0.15,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | MAGISTERIO | 0,217,3,72.33333333333333,0.013824884792626729
00-01-0205-46,8123837537.0,82,"124,165",008123837537,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,MAGISTERIO,2.0,18,3,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-317,2,2,0,0,2,2,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,-0.61,-0.04,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | MAGISTERIO | 0,217,3,72.33333333333333,0.013824884792626729
00-13-0941-46,6745831194.0,157,"145,726",006745831194,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 13,13.0,Diversificado,46,MAGISTERIO,2.0,18,3,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-504,2,2,0,1,2,1,2,1,4,4,2,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,4,0,2,1,1,0,1,1,1,0,1,1,-0.06,0.28,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | MAGISTERIO | 1,2,1,2.0,0.5
00-18-0186-46,1181791061.0,55,"148,011",001181791061,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,PERITO,3.0,18,3,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-111,2,2,0,0,1,.,2,2,5,2,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,4,1,1,0,1,0,0,0,1,1,-0.48,-0.39,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | PERITO | 0,27,1,27.0,0.037037037037037035
00-18-0196-46,3724419951.0,88,"148,184",003724419951,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,PERITO,3.0,18,3,1,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-111,2,2,1,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0.16,0.74,2,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | PERITO | 1,32,1,32.0,0.03125
00-01-0174-46,9919286406.0,200,"123,562",009919286406,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,SECRETARIADO,4.0,18,3,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-307,2,2,0,0,2,4,2,4,1,5,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,5,3,1,1,0,1,0,0,0,1,1,-0.14,-1.41,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | SECRETARIADO | 0,270,4,67.5,0.014814814814814815
00-01-0174-46,628797730.0,200,"123,705",000628797730,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,SECRETARIADO,4.0,17,2,0,Oficial,21,Urbana,11,Matutina,31,ANUAL,01-307,2,2,0,0,2,2,2,3,4,4,2,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0.32,0.59,2,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Oficial | Urbana | Matutina | SECRETARIADO | 0,270,4,67.5,0.014814814814814815
